title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. Chacarilla Santa Cruz Zona Santa Isabel B,"Ur. Chacarilla Santa Cruz Zona Santa Isabel B, San Isidro, Lima, Lima ","USD2,200",3 dormitorios,2 baños,285 m²,2002,"S/.1,148",Apartamento,Alquiler,"Hace 2 días, 3 horas - Publicado por Verónica Arosemena",https://www.properati.com.pe/detalle/14032-32-cf7a-f747d6974dd2-7feaa5c9-aade-46dc
Apartamento en alquiler en Ur. Villa Del Norte,"Ur. Villa Del Norte, Los Olivos, Lima, Lima ","S/.1,400",3 dormitorios,1 baño,140 m²,,,Apartamento,Alquiler,"Hace 2 días, 22 horas - Publicado por RealWasi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-dccc-fb406915a75f-81be9590-bdca-120d
Apartamento en alquiler en Ur. Lobaton,"Ur. Lobaton, Lince, Lima, Lima ",USD800,3 dormitorios,4 baños,100 m²,2018,,Apartamento,Alquiler,23 mar. 2023 - Publicado por Remax Plaza,https://www.properati.com.pe/detalle/14032-32-4360-752796355306-797ae944-84b6-4e77
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ",USD930,3 dormitorios,2 baños,100 m²,2010,S/.320,Apartamento,Alquiler,"Hace 3 días, 1 hora - Publicado por Manuel Villarreal Perez",https://www.properati.com.pe/detalle/14032-32-2704-f114e5191927-69300f0a-be30-4073
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Magdalena del Mar, Lima, Lima ","S/.3,200",3 dormitorios,3 baños,85 m²,2010,S/.280,Apartamento,Alquiler,"Hace 2 días, 17 horas - Publicado por INMOBILIARIA INTERNACIONAL DEL PERU",https://www.properati.com.pe/detalle/14032-32-39b-b8a952ef5e22-6e2f292f-b147-4822
Apartamento en alquiler en Ur. Santo Tomas,"Ur. Santo Tomas, San Borja, Lima, Lima ",USD900,3 dormitorios,3 baños,117 m²,2017,S/.300,Apartamento,Alquiler,"Hace 2 días, 2 horas - Publicado por Proyectum  Perú",https://www.properati.com.pe/detalle/14032-32-a43d-2e248c910cc-75eb8d9b-88cb-470d
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,350",3 dormitorios,3 baños,150 m²,2005,S/.530,Apartamento,Alquiler,"Hace 2 días, 4 horas - Publicado por SUCASA GRUPO INMOBILIARIO",https://www.properati.com.pe/detalle/14032-32-57ee-57b00f8da2ac-6e0f87c4-a13f-47a2
Apartamento en alquiler en Ur. La Campiña,"Ur. La Campiña, Chorrillos, Lima, Lima ","S/.1,750",3 dormitorios,2 baños,72 m²,2018,,Apartamento,Alquiler,Hace 2 días - Publicado por REMAX FAMILY,https://www.properati.com.pe/detalle/14032-32-7c15-9ce1c7cd6ec1-714ebf7c-b24c-41d3
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ",USD950,1 dormitorio,2 baños,70 m²,2009,S/.300,Apartamento,Alquiler,"Hace 2 días, 4 horas - Publicado por Corretaje Pelusa",https://www.properati.com.pe/detalle/14032-32-6f61-ea084ca774b0-562964f9-881f-4569
Apartamento en alquiler en Ur. La Encantada,"Ur. La Encantada, Chorrillos, Lima, Lima ",USD700,2 dormitorios,2 baños,70 m²,2016,,Apartamento,Alquiler,12 mar. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-c124-219a0c9f65f9-65612a70-80f5-120d
